#,Pattern,,Time (msec),,,,,Cumulative
,,,Absolute,vs. best,vs. mean,vs. median,,
683,[228] N1 S1 N2 N5 N3 S2 N4 S1,0,951.1333333,24.56666667,6.270491521,7.2,7.81E-06,0.806217041
684,[229] N1 N2 S1 N1 N2 N5 N3 S2 S3,0,951.1333333,24.56666667,6.270491521,7.2,1.95E-06,0.806218994
685,[192] N1 N2 N5 N3 S2 S1 N1 N2 S5,1,951.1333333,24.56666667,6.270491521,7.2,3.52E-05,0.80625415
686,[116] N1 S8 N4 S2 N3 N5 S5,3,951.1333333,24.56666667,6.270491521,7.2,0.000421875,0.806676025
687,[150] N1 N2 N5 S5 S4 N1 N2 S1,2,951.1666667,24.6,6.303824854,7.233333333,0.000210938,0.806886963
688,[230] N1 S1 N2 N5 S7 N3 N5 S5,0,951.2333333,24.66666667,6.370491521,7.3,3.91E-06,0.806890869
689,[193] N1 S1 N4 N6 S3 N7 S7,1,951.2333333,24.66666667,6.370491521,7.3,0.009,0.815890869
690,[194] N1 S1 N4 S8 N1 N2 N5 S7,1,951.2333333,24.66666667,6.370491521,7.3,0.000140625,0.816031494
691,[151] N1 N2 S1 S2 N3 N5 N2 N1 S8,2,951.2333333,24.66666667,6.370491521,7.3,5.27E-05,0.816084229
692,[152] N1 N2 N5 N3 S2 S1 N2 N1 S8,2,951.2666667,24.7,6.403824854,7.333333333,5.27E-05,0.816136963
693,[117] N1 S8 N4 N6 S3 N3 S2,3,951.2666667,24.7,6.403824854,7.333333333,0.0016875,0.817824463
694,[118] N1 S1 N4 S8 N1 N2 S5,3,951.2666667,24.7,6.403824854,7.333333333,0.00084375,0.818668213
695,[195] N1 N2 S1 N4 S2 N3 S3,1,951.3333333,24.76666667,6.470491521,7.4,0.00028125,0.818949463
696,[196] N1 S8 N4 S2 N3 N5 N2 S5,1,951.3666667,24.8,6.503824854,7.433333333,0.00028125,0.819230713
697,[197] N1 N2 S5 N5 N2 S5 N5 S7,1,951.3666667,24.8,6.503824854,7.433333333,7.03E-05,0.819301025
698,[153] N1 S1 N2 S5 N5 N3 S7,2,951.3666667,24.8,6.503824854,7.433333333,0.000210938,0.819511963
699,[119] N1 S8 N4 S1 N2 N5 S5,3,951.3666667,24.8,6.503824854,7.433333333,0.000210938,0.8197229
700,[120] N1 N2 S5 N5 N2 S5 S4,3,951.3666667,24.8,6.503824854,7.433333333,0.000421875,0.820144775
701,[198] N1 N2 N5 N3 S2 S1 N2 N5 S5,1,951.4,24.83333333,6.537158187,7.466666667,1.76E-05,0.820162354
702,[121] N1 S1 N4 S2 N3 S7,3,951.4333333,24.86666667,6.570491521,7.5,0.0016875,0.821849854
703,[154] N1 S1 N2 S5 N5 N3 S3,2,951.4666667,24.9,6.603824854,7.533333333,0.000105469,0.821955322
704,[199] N1 N2 S1 N4 S8 N1 N2 S5,1,951.5,24.93333333,6.637158187,7.566666667,0.00028125,0.822236572
705,[155] N1 S1 N2 N5 S5 N2 N5 S7,2,951.5,24.93333333,6.637158187,7.566666667,2.64E-05,0.822262939
706,[156] N1 N2 S5 N5 S7 N7 S3,2,951.5,24.93333333,6.637158187,7.566666667,0.00084375,0.823106689
707,[122] N1 N2 S5 N5 N2 N1 S1 S2,3,951.5666667,25,6.703824854,7.633333333,0.000105469,0.823212158
708,[231] N1 N2 N5 N3 S2 S3 N7 S7,0,951.6,25.03333333,6.737158187,7.666666667,0.0000625,0.823274658
709,[200] N1 N2 N5 S5 N2 N5 S5 S6,1,951.6,25.03333333,6.737158187,7.666666667,1.76E-05,0.823292236
710,[123] N1 S1 N2 N5 S7 N7 S3,3,951.6,25.03333333,6.737158187,7.666666667,0.000210938,0.823503174
711,[124] N1 S8 N4 S2 N3 N5 S7,3,951.6,25.03333333,6.737158187,7.666666667,0.000421875,0.823925049
712,[125] N1 N2 N5 S5 N2 N1 S1 S2,3,951.6,25.03333333,6.737158187,7.666666667,2.64E-05,0.823951416
713,[232] N1 N2 S1 N1 N2 N5 S7 N3 S2,0,951.6666667,25.1,6.803824854,7.733333333,9.77E-07,0.823952393
714,[201] N1 N2 S1 N4 S2 N3 S7,1,951.6666667,25.1,6.803824854,7.733333333,0.0005625,0.824514893
715,[202] N1 S1 N2 N5 N3 S2 N4 S8,1,951.6666667,25.1,6.803824854,7.733333333,3.52E-05,0.824550049
716,[157] N1 N2 N5 S7 N3 S2 S3,2,951.6666667,25.1,6.803824854,7.733333333,0.000105469,0.824655518
717,[126] N1 N2 S1 S2 N3 N5 N2 S5,3,951.6666667,25.1,6.803824854,7.733333333,5.27E-05,0.824708252
718,[233] N1 N2 S5 N5 N3 S2 N4 S8,0,951.7,25.13333333,6.837158187,7.766666667,7.81E-06,0.824716064
719,[234] N1 S1 N2 N5 S7 N3 N5 S7,0,951.7,25.13333333,6.837158187,7.766666667,3.91E-06,0.824719971
720,[203] N1 N2 N5 N3 S2 S1 N4 S8,1,951.7,25.13333333,6.837158187,7.766666667,0.000140625,0.824860596
721,[235] N1 N2 S1 N1 N2 S1 N1 N2 N5 S5,0,951.7333333,25.16666667,6.870491521,7.8,2.44E-07,0.82486084
722,[236] N1 N2 N5 S7 N3 S3 S2,0,951.7666667,25.2,6.903824854,7.833333333,0.00003125,0.82489209
723,[237] N1 S8 N4 S2 N3 N5 N2 N1 S1,0,951.8,25.23333333,6.937158187,7.866666667,0.00003125,0.82492334
724,[238] N1 N2 S5 N5 N2 S1 N4 S8,0,951.8333333,25.26666667,6.970491521,7.9,0.00003125,0.82495459
725,[204] N1 N2 N5 N3 S7 S6 S5,1,951.8333333,25.26666667,6.970491521,7.9,0.00225,0.82720459
726,[239] N1 N2 S5 S4 N1 N2 N5 N3 S2,0,951.8666667,25.3,7.003824854,7.933333333,0.00003125,0.82723584
727,[158] N1 S1 N4 S2 N3 N5 S5,2,951.8666667,25.3,7.003824854,7.933333333,0.000421875,0.827657715
728,[127] N1 S1 N2 N1 S1 N4 S2,3,951.8666667,25.3,7.003824854,7.933333333,0.000210938,0.827868652
729,[205] N1 N2 S5 N5 N2 S1 N1 N2 S1,1,951.9,25.33333333,7.037158187,7.966666667,1.76E-05,0.82788623
730,[128] N1 N2 S1 N4 S2 S3,3,951.9,25.33333333,7.037158187,7.966666667,0.000421875,0.828308105
731,[240] N1 N2 N5 S5 N2 S1 N4 S8,0,951.9333333,25.36666667,7.070491521,8,7.81E-06,0.828315918
732,[241] N1 N2 N5 S7 N7 S3 N3 S2,0,951.9333333,25.36666667,7.070491521,8,0.000015625,0.828331543
733,[206] N1 N2 S1 N1 N2 S5 N5 N2 S1,1,951.9333333,25.36666667,7.070491521,8,1.76E-05,0.828349121
734,[242] N1 N2 N5 N3 S2 N4 S8 N1 S1,0,951.9666667,25.4,7.103824854,8.033333333,7.81E-06,0.828356934
735,[243] N1 N2 N5 S5 S4 N1 N2 N5 S5,0,951.9666667,25.4,7.103824854,8.033333333,7.81E-06,0.828364746
736,[207] N1 N2 S1 N1 N2 N5 S5 N2 S1,1,951.9666667,25.4,7.103824854,8.033333333,4.39E-06,0.828369141
737,[159] N1 S1 N4 N6 S3 N3 S2,2,951.9666667,25.4,7.103824854,8.033333333,0.0016875,0.830056641
738,[160] N1 N2 S1 N1 N2 N5 N3 S2 S1,2,951.9666667,25.4,7.103824854,8.033333333,2.64E-05,0.830083008
739,[129] N1 S1 N2 N5 S5 N2 N1 S1,3,951.9666667,25.4,7.103824854,8.033333333,2.64E-05,0.830109375
740,[130] N1 S1 N2 S5 N5 N2 N1 S1,3,951.9666667,25.4,7.103824854,8.033333333,5.27E-05,0.830162109
741,[208] N1 N2 N5 S5 N2 S1 N1 N2 S1,1,952,25.43333333,7.137158187,8.066666667,4.39E-06,0.830166504
742,[244] N1 S8 N4 S1 N1 N2 N5 N3 S2,0,952.0333333,25.46666667,7.170491521,8.1,0.000015625,0.830182129
743,[209] N1 N2 S1 N1 N2 S1 N4 S2,1,952.0333333,25.46666667,7.170491521,8.1,3.52E-05,0.830217285
744,[131] N1 S8 N4 S1 N2 N5 S7,3,952.0666667,25.5,7.203824854,8.133333333,0.000210938,0.830428223
745,[245] N1 N2 S1 N4 S2 N3 N5 S5,0,952.1,25.53333333,7.237158187,8.166666667,0.000015625,0.830443848
746,[246] N1 S1 N4 S2 N3 N5 N2 S5,0,952.1,25.53333333,7.237158187,8.166666667,0.00003125,0.830475098
747,[210] N1 N2 N5 N3 S2 S1 N2 N5 S7,1,952.1,25.53333333,7.237158187,8.166666667,1.76E-05,0.830492676
748,[161] N1 S1 N2 N1 S1 N2 N5 N3 S2,2,952.1,25.53333333,7.237158187,8.166666667,2.64E-05,0.830519043
749,[162] N1 N2 N5 N3 S2 S1 N1 N2 S1,2,952.1,25.53333333,7.237158187,8.166666667,2.64E-05,0.83054541
750,[163] N1 N2 S1 S2 N3 N5 N2 N1 S1,2,952.1,25.53333333,7.237158187,8.166666667,5.27E-05,0.830598145
751,[164] N1 N2 N5 N3 S2 S1 N2 N1 S1,2,952.1333333,25.56666667,7.270491521,8.2,5.27E-05,0.830650879
752,[211] N1 N2 S1 N1 N2 S5 N5 N3 S2,1,952.1666667,25.6,7.303824854,8.233333333,8.79E-06,0.830659668
753,[132] N1 N2 S5 N5 N3 S2 S3,3,952.1666667,25.6,7.303824854,8.233333333,0.000105469,0.830765137
754,[247] N1 N2 S1 N4 N6 S3 N3 S2,0,952.2,25.63333333,7.337158187,8.266666667,0.0000625,0.830827637
755,[133] N1 N2 N5 N3 S2 S1 N2 S5,3,952.2,25.63333333,7.337158187,8.266666667,5.27E-05,0.830880371
756,[165] N1 S1 N2 N5 N3 S3 S2,2,952.2333333,25.66666667,7.370491521,8.3,0.000210938,0.831091309
757,[212] N1 N2 S5 N5 N3 S3 S2,1,952.3,25.73333333,7.437158187,8.366666667,0.000140625,0.831231934
758,[248] N1 S8 N4 S2 N3 N5 N2 N1 S4,0,952.3333333,25.76666667,7.470491521,8.4,0.0000625,0.831294434
759,[213] N1 S8 N4 N6 S3 N3 S7,1,952.3333333,25.76666667,7.470491521,8.4,0.0045,0.835794434
760,[166] N1 S1 N4 S2 N3 N5 S7,2,952.3333333,25.76666667,7.470491521,8.4,0.000421875,0.836216309
761,[214] N1 N2 N5 N3 S2 S3 N3 S2,1,952.3666667,25.8,7.503824854,8.433333333,3.52E-05,0.836251465
762,[167] N1 N2 N5 N3 S3 S2 S1,2,952.3666667,25.8,7.503824854,8.433333333,0.000210938,0.836462402
763,[249] N1 S1 N4 S8 N1 N2 N5 N3 S2,0,952.4,25.83333333,7.537158187,8.466666667,0.000015625,0.836478027
764,[134] N1 N2 S5 N5 N2 S1 N1 S4,3,952.4,25.83333333,7.537158187,8.466666667,0.000105469,0.836583496
765,[250] N1 N2 S1 N1 N2 S1 N1 N2 N5 S7,0,952.4333333,25.86666667,7.570491521,8.5,2.44E-07,0.83658374
766,[251] N1 N2 S5 N5 N2 S5 N5 N2 S1,0,952.4666667,25.9,7.603824854,8.533333333,7.81E-06,0.836591553
767,[168] N1 N2 S1 N1 N2 S1 N1 N2 S5,2,952.4666667,25.9,7.603824854,8.533333333,1.32E-05,0.836604736
768,[135] N1 N2 S5 N5 N2 S5 S6,3,952.4666667,25.9,7.603824854,8.533333333,0.000210938,0.836815674
769,[169] N1 N2 S1 N4 S8 N1 N2 S1,2,952.5,25.93333333,7.637158187,8.566666667,0.000210938,0.837026611
770,[136] N1 N2 N5 S5 N2 S1 N1 S4,3,952.5,25.93333333,7.637158187,8.566666667,2.64E-05,0.837052979
771,[137] N1 S1 N2 N5 S5 N2 N1 S4,3,952.5,25.93333333,7.637158187,8.566666667,5.27E-05,0.837105713
772,[138] N1 N2 S1 N1 S8 N4 N6 S3,3,952.5,25.93333333,7.637158187,8.566666667,0.000421875,0.837527588
773,[252] N1 N2 N5 S5 N2 N5 S5 N2 S1,0,952.5333333,25.96666667,7.670491521,8.6,9.77E-07,0.837528564
774,[215] N1 N2 N5 S5 N2 N5 N3 S2 S1,1,952.5333333,25.96666667,7.670491521,8.6,1.76E-05,0.837546143
775,[170] N1 N2 S5 S4 N1 N2 N5 S5,2,952.5333333,25.96666667,7.670491521,8.6,0.000421875,0.837968018
776,[139] N1 N2 S5 N5 S7 N3 S2,3,952.5333333,25.96666667,7.670491521,8.6,0.000105469,0.838073486
777,[140] N1 S1 N2 S5 N5 N2 N1 S4,3,952.5333333,25.96666667,7.670491521,8.6,0.000105469,0.838178955
778,[253] N1 N2 S1 N4 S2 N3 N5 S7,0,952.5666667,26,7.703824854,8.633333333,0.000015625,0.83819458
779,[254] N1 N2 S1 N1 N2 N5 S5 N2 N1 S8,0,952.5666667,26,7.703824854,8.633333333,4.88E-07,0.838195068
780,[255] N1 N2 S1 N1 N2 S5 N5 N2 N1 S8,0,952.6,26.03333333,7.737158187,8.666666667,1.95E-06,0.838197021
781,[256] N1 N2 S5 N5 N2 N1 S1 N2 N1 S8,0,952.6,26.03333333,7.737158187,8.666666667,3.91E-06,0.838200928
782,[171] N1 N2 N5 S7 N7 S3 S2,2,952.6,26.03333333,7.737158187,8.666666667,0.00084375,0.839044678
783,[257] N1 N2 N5 S5 N2 N1 S1 N2 N1 S8,0,952.6333333,26.06666667,7.770491521,8.7,9.77E-07,0.839045654
784,[216] N1 S1 N2 N5 S5 N2 N5 N3 S2,1,952.6333333,26.06666667,7.770491521,8.7,8.79E-06,0.839054443
785,[172] N1 N2 S1 S2 N3 N5 N2 N1 S4,2,952.6333333,26.06666667,7.770491521,8.7,0.000105469,0.839159912
786,[258] N1 N2 S5 N5 N2 S5 N5 N3 S2,0,952.6666667,26.1,7.803824854,8.733333333,3.91E-06,0.839163818
787,[259] N1 N2 N5 S5 S4 N1 N2 N5 S7,0,952.6666667,26.1,7.803824854,8.733333333,7.81E-06,0.839171631
788,[173] N1 N2 N5 N3 S2 S1 N2 N1 S4,2,952.6666667,26.1,7.803824854,8.733333333,0.000105469,0.8392771
789,[174] N1 N2 S5 N5 N2 N1 S4 S5,2,952.6666667,26.1,7.803824854,8.733333333,0.0016875,0.8409646
790,[141] N1 N2 S1 N1 N2 N5 S7 S6,3,952.6666667,26.1,7.803824854,8.733333333,2.64E-05,0.840990967
791,[175] N1 N2 N5 S5 N2 N1 S4 S5,2,952.7,26.13333333,7.837158187,8.766666667,0.000421875,0.841412842
792,[176] N1 N2 N5 S5 S4 N1 N2 S5,2,952.7,26.13333333,7.837158187,8.766666667,0.000421875,0.841834717
793,[177] N1 S8 N4 S1 N1 N2 N5 S5,2,952.7,26.13333333,7.837158187,8.766666667,0.000210938,0.842045654
794,[142] N1 N2 S1 N1 N2 N5 S5 S4,3,952.7,26.13333333,7.837158187,8.766666667,2.64E-05,0.842072021
795,[143] N1 S1 N2 N1 S8 N4 N6 S3,3,952.7333333,26.16666667,7.870491521,8.8,0.00084375,0.842915771
796,[260] N1 N2 N5 N3 S2 N4 S8 N1 S4,0,952.7666667,26.2,7.903824854,8.833333333,0.000015625,0.842931396
797,[261] N1 S8 N4 N6 S3 N3 N5 S5,0,952.7666667,26.2,7.903824854,8.833333333,0.000125,0.843056396
798,[178] N1 S8 N4 S2 N3 N5 N2 S1,2,952.7666667,26.2,7.903824854,8.833333333,0.000421875,0.843478271
799,[262] N1 S1 N2 N1 S1 N2 N5 N3 S7,0,952.8,26.23333333,7.937158187,8.866666667,7.81E-06,0.843486084
800,[179] N1 N2 S1 N4 N6 S3 S2,2,952.8,26.23333333,7.937158187,8.866666667,0.0016875,0.845173584
801,[217] N1 N2 N5 N3 S2 S1 N4 S2,1,952.8666667,26.3,8.003824854,8.933333333,0.000140625,0.845314209
802,[263] N1 N2 N5 N3 S2 S1 N1 N2 N5 S5,0,952.9,26.33333333,8.037158187,8.966666667,9.77E-07,0.845315186
803,[264] N1 S1 N2 N1 S1 N2 N5 N3 S3,0,952.9,26.33333333,8.037158187,8.966666667,3.91E-06,0.845319092
804,[265] N1 N2 S5 N5 N2 S1 N4 S2,0,953,26.43333333,8.137158187,9.066666667,0.00003125,0.845350342
805,[144] N1 S8 N4 N6 S3 N7 S7,3,953,26.43333333,8.137158187,9.066666667,0.0135,0.858850342
806,[266] N1 S1 N4 N6 S3 N3 S7,0,953.0333333,26.46666667,8.170491521,9.1,0.0005,0.859350342
807,[218] N1 N2 S1 N1 N2 S5 N5 N2 S5,1,953.0333333,26.46666667,8.170491521,9.1,1.76E-05,0.85936792
808,[219] N1 N2 N5 N3 S2 N4 S1 S2,1,953.0666667,26.5,8.203824854,9.133333333,3.52E-05,0.859403076
809,[180] N1 S1 N4 S8 N1 N2 N5 S5,2,953.0666667,26.5,8.203824854,9.133333333,0.000210938,0.859614014
810,[267] N1 N2 N5 S5 N2 S1 N4 S2,0,953.1,26.53333333,8.237158187,9.166666667,7.81E-06,0.859621826
811,[181] N1 S1 N2 N1 S1 N4 N6 S3,2,953.1,26.53333333,8.237158187,9.166666667,0.00084375,0.860465576
812,[145] N1 S1 N2 N5 N3 S7 S6,3,953.1,26.53333333,8.237158187,9.166666667,0.000421875,0.860887451
813,[268] N1 N2 S1 N1 N2 N5 S7 N7 S3,0,953.1333333,26.56666667,8.270491521,9.2,3.91E-06,0.860891357
814,[182] N1 N2 S5 N5 N3 S7 S6,2,953.1666667,26.6,8.303824854,9.233333333,0.00084375,0.861735107
815,[183] N1 S8 N4 S1 N2 N5 N3 S2,2,953.2,26.63333333,8.337158187,9.266666667,0.000210938,0.861946045
816,[184] N1 S4 S5 N2 N5 N3 S7,2,953.2,26.63333333,8.337158187,9.266666667,0.0016875,0.863633545
817,[269] N1 N2 N5 N3 S2 S1 N2 N5 N3 S2,0,953.2333333,26.66666667,8.370491521,9.3,1.95E-06,0.863635498
818,[185] N1 N2 N5 S5 N2 N5 S7 S6,2,953.2333333,26.66666667,8.370491521,9.3,5.27E-05,0.863688232
819,[186] N1 N2 S5 S4 N1 N2 N5 S7,2,953.2333333,26.66666667,8.370491521,9.3,0.000421875,0.864110107
820,[270] N1 N2 S1 N1 N2 S1 N4 N6 S3,0,953.2666667,26.7,8.403824854,9.333333333,0.000015625,0.864125732
821,[271] N1 S8 N4 N6 S3 N3 N5 S7,0,953.2666667,26.7,8.403824854,9.333333333,0.000125,0.864250732
822,[187] N1 N2 N5 S5 N2 N5 S5 S4,2,953.2666667,26.7,8.403824854,9.333333333,5.27E-05,0.864303467
823,[272] N1 S1 N2 N5 N3 S3 N7 S7,0,953.3,26.73333333,8.437158187,9.366666667,0.0000625,0.864365967
824,[273] N1 N2 S1 N4 S8 N1 N2 N5 S5,0,953.3,26.73333333,8.437158187,9.366666667,7.81E-06,0.864373779
825,[220] N1 N2 S5 N5 S7 N3 S3,1,953.3,26.73333333,8.437158187,9.366666667,0.00028125,0.864655029
826,[188] N1 S4 S5 N2 N5 N3 S3,2,953.3,26.73333333,8.437158187,9.366666667,0.00084375,0.865498779
827,[146] N1 S1 N2 N5 S5 N2 N5 S5,3,953.3,26.73333333,8.437158187,9.366666667,1.32E-05,0.865511963
828,[274] N1 S1 N2 N5 N3 S7 N7 S3,0,953.3333333,26.76666667,8.470491521,9.4,0.0000625,0.865574463
829,[147] N1 N2 S1 N1 N2 S5 N5 S7,3,953.3333333,26.76666667,8.470491521,9.4,2.64E-05,0.86560083
830,[189] N1 N2 S1 N1 N2 S1 N4 S8,2,953.3666667,26.8,8.503824854,9.433333333,5.27E-05,0.865653564
831,[221] N1 S8 N4 S2 N3 N5 N2 N1 S8,1,953.4,26.83333333,8.537158187,9.466666667,0.000140625,0.865794189
832,[190] N1 S1 N2 N5 S7 N3 S3,2,953.4,26.83333333,8.537158187,9.466666667,0.000210938,0.866005127
833,[191] N1 S8 N4 S1 N1 N2 N5 S7,2,953.4,26.83333333,8.537158187,9.466666667,0.000210938,0.866216064
834,[275] N1 N2 N5 S7 N3 N5 S7 S6,0,953.4333333,26.86666667,8.570491521,9.5,7.81E-06,0.866223877
835,[222] N1 N2 S5 N5 N2 S1 N1 N2 S5,1,953.4333333,26.86666667,8.570491521,9.5,3.52E-05,0.866259033
836,[148] N1 N2 S1 N1 N2 S1 N1 N2 S1,3,953.4333333,26.86666667,8.570491521,9.5,3.30E-06,0.866262329
837,[276] N1 N2 S1 N1 N2 N5 S5 N2 N1 S1,0,953.4666667,26.9,8.603824854,9.533333333,4.88E-07,0.866262817
838,[277] N1 N2 S1 N1 N2 S5 N5 N2 N1 S1,0,953.4666667,26.9,8.603824854,9.533333333,1.95E-06,0.866264771
839,[278] N1 N2 S5 N5 N2 N1 S1 N2 N1 S1,0,953.4666667,26.9,8.603824854,9.533333333,3.91E-06,0.866268677
840,[279] N1 N2 N5 S5 N2 N1 S1 N2 N1 S1,0,953.5,26.93333333,8.637158187,9.566666667,9.77E-07,0.866269653
841,[223] N1 S1 N4 S2 N3 N5 N2 S1,1,953.5,26.93333333,8.637158187,9.566666667,0.000140625,0.866410278
842,[224] N1 N2 N5 S5 N2 S1 N1 N2 S5,1,953.5333333,26.96666667,8.670491521,9.6,8.79E-06,0.866419067
843,[225] N1 N2 S5 N5 N2 N1 S1 N2 S5,1,953.5333333,26.96666667,8.670491521,9.6,3.52E-05,0.866454224
844,[280] N1 N2 S5 N5 N2 S5 N5 N2 S5,0,953.5666667,27,8.703824854,9.633333333,7.81E-06,0.866462036
845,[226] N1 S1 N2 N5 N3 S7 N5 S5,1,953.5666667,27,8.703824854,9.633333333,7.03E-05,0.866532349
846,[227] N1 N2 N5 S5 N2 N1 S1 N2 S5,1,953.5666667,27,8.703824854,9.633333333,8.79E-06,0.866541138
847,[149] N1 N2 S1 N1 N2 N5 S5 S6,3,953.5666667,27,8.703824854,9.633333333,1.32E-05,0.866554321
848,[281] N1 N2 N5 N3 S2 S1 N1 N2 N5 S7,0,953.6,27.03333333,8.737158187,9.666666667,9.77E-07,0.866555298
849,[282] N1 N2 N5 N3 S7 N5 S5 S4,0,953.6,27.03333333,8.737158187,9.666666667,0.00003125,0.866586548
850,[283] N1 N2 S5 N5 N3 S7 N5 S5,0,953.6333333,27.06666667,8.770491521,9.7,0.000015625,0.866602173
851,[284] N1 N2 S5 N5 S7 N3 N5 S5,0,953.6333333,27.06666667,8.770491521,9.7,7.81E-06,0.866609985
852,[228] N1 S1 N2 N5 N3 S2 N4 S1,1,953.6333333,27.06666667,8.770491521,9.7,3.52E-05,0.866645142
853,[229] N1 N2 S1 N1 N2 N5 N3 S2 S3,1,953.6333333,27.06666667,8.770491521,9.7,8.79E-06,0.866653931
854,[192] N1 N2 N5 N3 S2 S1 N1 N2 S5,2,953.6333333,27.06666667,8.770491521,9.7,5.27E-05,0.866706665
855,[285] N1 N2 S5 N5 N3 S2 N4 S1,0,953.6666667,27.1,8.803824854,9.733333333,7.81E-06,0.866714478
856,[150] N1 N2 N5 S5 S4 N1 N2 S1,3,953.6666667,27.1,8.803824854,9.733333333,0.000105469,0.866819946
857,[286] N1 N2 N5 S7 N3 N5 S5 S4,0,953.7,27.13333333,8.837158187,9.766666667,7.81E-06,0.866827759
858,[287] N1 N2 N5 S7 N3 S2 N4 S8,0,953.7333333,27.16666667,8.870491521,9.8,3.91E-06,0.866831665
859,[230] N1 S1 N2 N5 S7 N3 N5 S5,1,953.7333333,27.16666667,8.870491521,9.8,1.76E-05,0.866849243
860,[193] N1 S1 N4 N6 S3 N7 S7,2,953.7333333,27.16666667,8.870491521,9.8,0.0135,0.880349243
861,[194] N1 S1 N4 S8 N1 N2 N5 S7,2,953.7333333,27.16666667,8.870491521,9.8,0.000210938,0.880560181
862,[151] N1 N2 S1 S2 N3 N5 N2 N1 S8,3,953.7333333,27.16666667,8.870491521,9.8,2.64E-05,0.880586548
863,[152] N1 N2 N5 N3 S2 S1 N2 N1 S8,3,953.7666667,27.2,8.903824854,9.833333333,2.64E-05,0.880612915
864,[195] N1 N2 S1 N4 S2 N3 S3,2,953.8333333,27.26666667,8.970491521,9.9,0.000421875,0.88103479
865,[196] N1 S8 N4 S2 N3 N5 N2 S5,2,953.8666667,27.3,9.003824854,9.933333333,0.000421875,0.881456665
866,[197] N1 N2 S5 N5 N2 S5 N5 S7,2,953.8666667,27.3,9.003824854,9.933333333,0.000105469,0.881562134
867,[153] N1 S1 N2 S5 N5 N3 S7,3,953.8666667,27.3,9.003824854,9.933333333,0.000105469,0.881667603
868,[288] N1 S8 N4 S1 N2 N5 N3 S7,0,953.9,27.33333333,9.037158187,9.966666667,0.0000625,0.881730103
869,[198] N1 N2 N5 N3 S2 S1 N2 N5 S5,2,953.9,27.33333333,9.037158187,9.966666667,2.64E-05,0.88175647
870,[289] N1 N2 S1 N4 N6 S3 N7 S7,0,953.9333333,27.36666667,9.070491521,10,0.0005,0.88225647
871,[290] N1 S1 N2 N5 N3 S2 N4 N6 S3,0,953.9666667,27.4,9.103824854,10.03333333,0.000015625,0.882272095
872,[291] N1 N2 S1 N4 S8 N1 N2 N5 S7,0,953.9666667,27.4,9.103824854,10.03333333,7.81E-06,0.882279907
873,[292] N1 N2 S5 N5 N2 N1 S8 N4 S2,0,953.9666667,27.4,9.103824854,10.03333333,0.00003125,0.882311157
874,[154] N1 S1 N2 S5 N5 N3 S3,3,953.9666667,27.4,9.103824854,10.03333333,5.27E-05,0.882363892
875,[293] N1 S8 N4 S1 N2 N5 N3 S3,0,954,27.43333333,9.137158187,10.06666667,0.00003125,0.882395142
876,[294] N1 N2 N5 S5 N2 N1 S8 N4 S2,0,954,27.43333333,9.137158187,10.06666667,7.81E-06,0.882402954
877,[295] N1 N2 S1 N1 N2 N5 S5 N2 N1 S4,0,954,27.43333333,9.137158187,10.06666667,9.77E-07,0.882403931
878,[296] N1 N2 S1 N1 N2 S5 N5 N2 N1 S4,0,954,27.43333333,9.137158187,10.06666667,3.91E-06,0.882407837
879,[199] N1 N2 S1 N4 S8 N1 N2 S5,2,954,27.43333333,9.137158187,10.06666667,0.000421875,0.882829712
880,[155] N1 S1 N2 N5 S5 N2 N5 S7,3,954,27.43333333,9.137158187,10.06666667,1.32E-05,0.882842896
881,[156] N1 N2 S5 N5 S7 N7 S3,3,954,27.43333333,9.137158187,10.06666667,0.000421875,0.883264771
882,[298] N1 N2 S5 N5 N2 N1 S1 N2 N1 S4,0,954.0333333,27.46666667,9.170491521,10.1,7.81E-06,0.883272583
883,[297] N1 N2 N5 N3 S2 N4 S1 N1 S8,0,954.0333333,27.46666667,9.170491521,10.1,3.91E-06,0.883276489
884,[299] N1 N2 N5 S5 N2 N1 S1 N2 N1 S4,0,954.0666667,27.5,9.203824854,10.13333333,1.95313E-06,0.883278442
885,[300] N1 N2 N5 N3 S2 S1 N4 N6 S3,0,954.1,27.53333333,9.237158187,10.16666667,6.25E-05,0.883340942
886,[301] N1 N2 S5 N5 S7 N3 N5 S7,0,954.1,27.53333333,9.237158187,10.16666667,7.8125E-06,0.883348755
887,[231] N1 N2 N5 N3 S2 S3 N7 S7,1,954.1,27.53333333,9.237158187,10.16666667,2.81E-04,0.883630005
888,[200] N1 N2 N5 S5 N2 N5 S5 S6,2,954.1,27.53333333,9.237158187,10.16666667,2.63672E-05,0.883656372
889,[302] N1 S1 N4 S2 N3 N5 N2 N1 S8,0,954.1666667,27.6,9.303824854,10.23333333,1.56E-05,0.883671997
890,[303] N1 N2 N5 S5 N2 N5 N3 S2 S3,0,954.1666667,27.6,9.303824854,10.23333333,1.95E-06,0.88367395
891,[232] N1 N2 S1 N1 N2 N5 S7 N3 S2,1,954.1666667,27.6,9.303824854,10.23333333,4.39453E-06,0.883678345
892,[201] N1 N2 S1 N4 S2 N3 S7,2,954.1666667,27.6,9.303824854,10.23333333,8.44E-04,0.884522095
893,[202] N1 S1 N2 N5 N3 S2 N4 S8,2,954.1666667,27.6,9.303824854,10.23333333,5.27E-05,0.884574829
